Vehículo,ID stock,Marca,Modelo,Año,Color,Kilometraje,Combustible,Transmisión,Carrocería,Puertas,Motor,Potencia (HP),Condición,Precio de venta (ARS),Estado
Fiat Cronos - 2023,1,Fiat,Cronos,2023,Gris,28000,Nafta,Manual,Sedán,4,1.3L,99,Usado,16800000,Disponible
Volkswagen Gol Trend - 2018,2,Volkswagen,Gol Trend,2018,Blanco,110000,Nafta,Manual,Hatchback,5,1.6L,101,Usado,9200000,Disponible
Ford Fiesta - 2017,3,Ford,Fiesta,2017,Azul,105000,Nafta,Manual,Hatchback,5,1.6L,120,Usado,8200000,Vendido
Toyota Etios - 2019,4,Toyota,Etios,2019,Gris,45000,Nafta,Manual,Hatchback,5,1.5L,103,Usado,12500000,Reservado
Toyota Corolla - 2022,5,Toyota,Corolla,2022,Gris,35000,Nafta,CVT,Sedán,4,1.8L,140,Usado,24800000,Reservado
Volkswagen Vento - 2023,6,Volkswagen,Vento,2023,Blanco,24000,Nafta,Automática,Sedán,4,1.4L Turbo,150,Seminuevo,31000000,Disponible
Chevrolet Onix - 2024,7,Chevrolet,Onix,2024,Rojo,12000,Nafta,Manual,Sedán,4,1.2L Turbo,116,Seminuevo,21500000,Disponible
Peugeot 208 - 2025,8,Peugeot,208,2025,Azul,8000,Nafta,Manual,Hatchback,5,1.6L,115,Seminuevo,21000000,Vendido
Ford EcoSport - 2020,9,Ford,EcoSport,2020,Negro,55000,Nafta,Manual,SUV,5,1.5L,123,Usado,19800000,Disponible
Volkswagen T-Cross - 2025,10,Volkswagen,T-Cross,2025,Blanco,5200,Nafta,Automática,SUV,5,1.6L,110,Seminuevo,34000000,Disponible
Renault Duster - 2023,11,Renault,Duster,2023,Gris,31000,Nafta,Manual,SUV,5,1.6L,106,Usado,22500000,Disponible
Jeep Renegade - 2021,12,Jeep,Renegade,2021,Verde,42000,Nafta,Automática,SUV,5,1.8L,139,Usado,25500000,Reservado
Toyota Hilux - 2021,13,Toyota,Hilux,2021,Blanco,95000,Diesel,Manual,Pickup,4,2.8L,177,Usado,38000000,Disponible
Ford Ranger - 2024,14,Ford,Ranger,2024,Gris,18000,Diesel,Automática,Pickup,4,3.2L,200,Seminuevo,57000000,Disponible
Volkswagen Amarok - 2018,15,Volkswagen,Amarok,2018,Negro,135000,Diesel,Manual,Pickup,4,2.0L,180,Usado,32000000,Disponible
Chevrolet S10 - 2022,16,Chevrolet,S10,2022,Blanco,68000,Diesel,Manual,Pickup,4,2.8L,200,Usado,39500000,Vendido
Renault Kangoo - 2021,17,Renault,Kangoo,2021,Blanco,82000,Nafta,Manual,Utilitario,5,1.6L,105,Usado,18500000,Disponible
